candidate_id,job_role_applied,gender,nationality,education_level,university_tier,relevant_experience_years,skill_match_score,interview_score,Hiring Probability,Decision
6423,Cyber Security Analyst,Female,American,Bachelor,Tier 3,12.03,0.824,94.6,0.2638094126982404,REJECT
6435,Cyber Security Analyst,Female,American,Bachelor,Tier 2,9.54,0.845,72.2,0.26209574616471915,REJECT
6487,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),10.07,0.67,67.3,0.1423157919047688,REJECT
6502,Cyber Security Analyst,Female,American,Bachelor,Tier 3,2.8,1.0,98.0,0.5939309447352863,SHORTLIST
6504,Cyber Security Analyst,Female,American,Bachelor,Tier 1 (Top),7.69,0.462,96.2,0.5401512912022107,SHORTLIST
6569,Cyber Security Analyst,Female,American,Bachelor,Tier 3,17.43,1.0,71.2,0.1855423853705615,REJECT
6697,Cyber Security Analyst,Female,American,Bachelor,Tier 2,13.77,1.0,83.1,0.7341658579841812,SHORTLIST
6756,Cyber Security Analyst,Female,American,Bachelor,Tier 3,11.16,1.0,79.8,0.2776527570569848,REJECT
6946,Cyber Security Analyst,Female,American,Master,Unknown,13.15,0.673,98.0,0.21601323067801798,REJECT
7201,Cyber Security Analyst,Female,American,Master,Tier 3,8.23,1.0,84.6,0.33101903787861614,REJECT
7203,Cyber Security Analyst,Female,American,Bachelor,Tier 2,12.43,0.836,70.4,0.1610622686217022,REJECT
7259,Cyber Security Analyst,Female,American,High School,Tier 2,7.78,0.795,97.6,0.3328412115218273,REJECT
7314,Cyber Security Analyst,Female,American,Master,Tier 3,6.8,0.883,98.0,0.41045877664019165,REJECT
7806,Cyber Security Analyst,Female,American,Bachelor,Tier 3,14.32,0.897,98.0,0.6281191965272676,SHORTLIST
8007,Cyber Security Analyst,Female,American,Bachelor,Tier 3,13.69,0.549,75.4,0.0828471105192074,REJECT
8432,Cyber Security Analyst,Female,American,Bachelor,Tier 2,16.32,1.0,95.3,0.5369697606890703,SHORTLIST
8588,Cyber Security Analyst,Female,American,Master,Tier 3,5.27,1.0,98.0,0.641234760778824,SHORTLIST
8623,Cyber Security Analyst,Female,American,Master,Tier 3,10.39,0.7,80.2,0.1843659315611843,REJECT
8725,Cyber Security Analyst,Female,American,Master,Tier 3,15.68,0.938,77.4,0.7132266738752133,SHORTLIST
8812,Cyber Security Analyst,Female,American,Bachelor,Unknown,9.74,0.915,78.6,0.660383325705899,SHORTLIST
8950,Cyber Security Analyst,Female,American,Bachelor,Tier 2,19.41,1.0,98.0,0.6622075780124276,SHORTLIST
8984,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),5.71,0.918,67.5,0.2742436279489813,REJECT
9154,Cyber Security Analyst,Female,American,Master,Tier 3,6.42,0.888,82.3,0.1941131390156825,REJECT
9304,Cyber Security Analyst,Female,American,Bachelor,Tier 1 (Top),7.57,0.691,86.5,0.13752934685592122,REJECT
9455,Cyber Security Analyst,Female,American,Bachelor,Tier 3,12.26,0.845,89.8,0.7065472503214066,SHORTLIST
9528,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),8.55,0.44,76.5,0.17812524702716628,REJECT
9703,Cyber Security Analyst,Female,American,Master,Tier 2,8.89,0.92,77.1,0.7112276964079691,SHORTLIST
9721,Cyber Security Analyst,Female,American,High School,Tier 1 (Top),6.47,0.511,83.5,0.520464203402692,SHORTLIST
10061,Cyber Security Analyst,Female,American,Bachelor,Tier 1 (Top),6.15,0.704,92.0,0.14045865242698377,REJECT
10101,Cyber Security Analyst,Female,American,PhD,Tier 3,10.34,0.784,76.9,0.25859740416314186,REJECT
10122,Cyber Security Analyst,Female,American,Master,Tier 2,23.36,1.0,85.7,0.671019291419078,SHORTLIST
10382,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),7.85,1.0,98.0,0.7660055191109341,SHORTLIST
10575,Cyber Security Analyst,Female,American,Bachelor,Unknown,4.26,0.508,74.9,0.036659268166299594,REJECT
10666,Cyber Security Analyst,Female,American,Master,Tier 2,11.44,0.591,61.8,0.50919015624283,SHORTLIST
10757,Cyber Security Analyst,Female,American,Bachelor,Tier 3,3.65,0.812,93.5,0.10938213624791121,REJECT
10808,Cyber Security Analyst,Female,American,Master,Tier 3,12.64,0.766,88.9,0.6114311437394728,SHORTLIST
11024,Cyber Security Analyst,Female,American,Bachelor,Tier 2,9.85,0.528,87.2,0.07903764573219699,REJECT
11123,Cyber Security Analyst,Female,American,Master,Tier 3,15.06,1.0,90.9,0.7775517388862596,SHORTLIST
11433,Cyber Security Analyst,Female,American,Master,Tier 3,4.98,1.0,75.5,0.1667559940690759,REJECT
11970,Cyber Security Analyst,Female,American,Bachelor,Tier 2,24.0,1.0,66.4,0.36205031388318787,REJECT
12154,Cyber Security Analyst,Female,American,Bachelor,Tier 2,8.31,0.575,89.1,0.0828002776891851,REJECT
