job_role_applied,gender,nationality,education_level,university_tier,relevant_experience_years,skill_match_score,interview_score,Hiring Probability,Decision
Data Analyst,Female,Asian (other),PhD,Tier 2,6.15,0.762,93.4,0.6644515788422933,✅ SHORTLIST
Data Analyst,Male,European,Bachelor,Tier 2,9.26,0.85,91.5,0.4865333235521449,❌ REJECT
Data Analyst,Male,American,PhD,Tier 2,7.62,0.941,66.5,0.24375415464926117,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 2,19.64,0.859,98.0,0.47369698605603233,❌ REJECT
Data Analyst,Male,Indian,High School,Tier 3,5.05,0.837,79.1,0.16883022428425015,❌ REJECT
Data Analyst,Female,European,Master,Tier 1 (Top),12.59,1.0,97.9,0.7751716711405682,✅ SHORTLIST
Data Analyst,Female,American,Master,Unknown,7.97,0.895,76.9,0.3071508043613151,❌ REJECT
Data Analyst,Female,Indian,Master,Tier 2,9.27,1.0,86.3,0.4680990299103118,❌ REJECT
Data Analyst,Female,African,Bachelor,Tier 2,5.73,0.323,93.8,0.12462329176519309,❌ REJECT
Data Analyst,Male,Indian,PhD,Tier 3,3.43,0.957,74.6,0.21092115851022597,❌ REJECT
Data Analyst,Female,European,Bachelor,Tier 3,10.56,0.852,87.6,0.35526534494842066,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 1 (Top),5.31,1.0,87.1,0.3838175940108492,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 1 (Top),18.82,1.0,92.8,0.9126441257267939,✅ SHORTLIST
Data Analyst,Male,Indian,Bachelor,Tier 3,13.17,0.57,89.0,0.19437516056358103,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),10.99,0.379,71.5,0.08555537184291367,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 1 (Top),10.88,0.733,98.0,0.6102639857512355,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 3,7.86,1.0,67.8,0.22826243374597088,❌ REJECT
Data Analyst,Non-binary/Other,Indian,Master,Tier 3,6.89,0.88,54.0,0.0775452237376338,❌ REJECT
Data Analyst,Female,Indian,Master,Tier 3,5.83,0.355,79.2,0.08653938210220659,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 1 (Top),8.49,1.0,84.5,0.688499399625321,✅ SHORTLIST
Data Analyst,Female,American,Master,Tier 2,11.85,1.0,86.9,0.40632884926466206,❌ REJECT
Data Analyst,Male,Asian (other),Bachelor,Tier 2,12.24,0.956,77.5,0.40667031523617025,❌ REJECT
Data Analyst,Male,American,Bachelor,Tier 3,11.58,0.704,65.7,0.09096322457030395,❌ REJECT
Data Analyst,Male,American,Master,Tier 3,3.53,0.886,83.8,0.2353688937638529,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 3,5.86,0.536,97.2,0.43253756850426794,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 2,8.37,0.925,70.7,0.19676748139690192,❌ REJECT
Data Analyst,Male,Other,Bachelor,Unknown,7.27,0.439,90.3,0.5747683220754797,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 3,6.79,0.429,73.7,0.038927354933538424,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),8.93,0.725,96.1,0.48231612709740324,❌ REJECT
Data Analyst,Male,African,Master,Tier 2,4.71,0.781,69.4,0.5208546329274224,✅ SHORTLIST
Data Analyst,Female,European,Bachelor,Unknown,18.86,0.518,73.5,0.10602129057079639,❌ REJECT
Data Analyst,Female,Other,High School,Tier 3,10.46,0.834,75.4,0.1497766290206119,❌ REJECT
Data Analyst,Female,American,Master,Tier 2,5.1,0.761,86.0,0.6050068949930131,✅ SHORTLIST
Data Analyst,Female,Indian,High School,Tier 3,8.06,1.0,70.0,0.13243945433562307,❌ REJECT
Data Analyst,Male,Asian (other),Bachelor,Tier 1 (Top),5.91,0.495,98.0,0.11898275909983903,❌ REJECT
Data Analyst,Female,European,Master,Tier 3,10.63,1.0,98.0,0.43954276016257926,❌ REJECT
Data Analyst,Male,European,Bachelor,Tier 3,10.61,1.0,78.9,0.34771256891569247,❌ REJECT
Data Analyst,Male,European,PhD,Tier 2,7.71,0.968,76.0,0.33288432851114647,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,11.97,0.922,88.5,0.4970474456623992,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 1 (Top),15.79,1.0,70.6,0.32904631977135557,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 3,10.91,0.923,98.0,0.5708125093658436,✅ SHORTLIST
Data Analyst,Male,European,Bachelor,Tier 3,9.24,0.64,94.4,0.16387123680138824,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,18.92,1.0,98.0,0.7932647066606286,✅ SHORTLIST
Data Analyst,Male,European,Master,Tier 1 (Top),9.62,0.635,85.1,0.6349435693412182,✅ SHORTLIST
Data Analyst,Female,European,Bachelor,Tier 2,4.0,0.601,86.2,0.09295327059782306,❌ REJECT
Data Analyst,Male,Other,Bachelor,Tier 2,7.89,0.407,81.1,0.05884150441623309,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 3,10.63,1.0,87.4,0.3065350012927132,❌ REJECT
Data Analyst,Female,Indian,Master,Tier 2,10.96,0.986,82.6,0.4227517040599799,❌ REJECT
Data Analyst,Female,African,Master,Tier 2,4.72,0.99,52.3,0.11106742964464825,❌ REJECT
Data Analyst,Female,Asian (other),PhD,Tier 1 (Top),7.49,1.0,81.0,0.335830653539332,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 2,18.25,0.696,84.5,0.5462539611586696,✅ SHORTLIST
Data Analyst,Male,Indian,Master,Tier 3,11.37,0.951,72.3,0.3890506792554323,❌ REJECT
Data Analyst,Male,African,Bachelor,Tier 2,6.19,0.809,81.7,0.6040944695137356,✅ SHORTLIST
Data Analyst,Female,Asian (other),PhD,Tier 2,9.19,1.0,70.6,0.6338692125955767,✅ SHORTLIST
Data Analyst,Male,Indian,High School,Tier 3,10.88,0.527,62.1,0.05527266986268322,❌ REJECT
Data Analyst,Male,Asian (other),Bachelor,Unknown,11.72,0.89,98.0,0.32565199715863075,❌ REJECT
Data Analyst,Male,Asian (other),High School,Tier 2,3.46,0.568,95.8,0.4902591510276389,❌ REJECT
Data Analyst,Male,European,Bachelor,Tier 3,3.74,0.501,91.1,0.0542098593692625,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 2,6.22,0.673,85.1,0.20085348684185572,❌ REJECT
Data Analyst,Male,Asian (other),Master,Tier 1 (Top),5.39,0.668,81.9,0.2843813171045133,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 3,9.95,0.445,79.8,0.10786828526916131,❌ REJECT
Data Analyst,Female,American,Master,Tier 2,19.55,1.0,83.3,0.5596444370428042,✅ SHORTLIST
Data Analyst,Non-binary/Other,Indian,Bachelor,Tier 3,13.2,0.996,75.2,0.762635396384902,✅ SHORTLIST
Data Analyst,Male,Indian,High School,Tier 3,6.14,0.714,85.4,0.09201542290028232,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),7.35,0.539,64.7,0.08439827149341324,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 2,12.72,1.0,71.6,0.25824263788761437,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 1 (Top),14.73,0.816,91.7,0.7967978435029629,✅ SHORTLIST
Data Analyst,Female,Other,Bachelor,Tier 1 (Top),25.13,0.837,89.4,0.8150846987292444,✅ SHORTLIST
Data Analyst,Female,Indian,Master,Tier 2,15.74,0.996,58.8,0.6497426461878052,✅ SHORTLIST
Data Analyst,Female,American,PhD,Tier 2,9.76,1.0,71.4,0.2488096589271394,❌ REJECT
Data Analyst,Male,African,Bachelor,Tier 3,3.79,0.66,93.4,0.12864112069086547,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 1 (Top),7.66,0.801,86.7,0.6922428136384496,✅ SHORTLIST
Data Analyst,Female,European,Bachelor,Tier 2,11.46,0.905,79.6,0.6572380442619502,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 3,3.48,0.68,57.7,0.05072512542126112,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,12.01,0.916,74.0,0.5512459911790639,✅ SHORTLIST
Data Analyst,Male,European,Bachelor,Tier 3,17.91,1.0,73.4,0.3859987333712833,❌ REJECT
Data Analyst,Female,Asian (other),Bachelor,Tier 3,14.21,1.0,52.3,0.13087430920576787,❌ REJECT
Data Analyst,Male,Asian (other),Bachelor,Tier 1 (Top),5.93,0.567,85.3,0.12173699576396604,❌ REJECT
Data Analyst,Male,Other,Bachelor,Tier 1 (Top),12.82,0.75,73.1,0.22238625793332129,❌ REJECT
Data Analyst,Male,American,Master,Unknown,8.14,0.781,80.1,0.27634191035710814,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,6.75,0.555,81.5,0.12028379976255664,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 3,16.34,0.661,96.1,0.19146903844825128,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 3,7.63,0.883,67.1,0.17911387772545934,❌ REJECT
Data Analyst,Male,Other,Master,Tier 3,11.98,0.756,81.5,0.25645298138051287,❌ REJECT
Data Analyst,Female,Other,Bachelor,Tier 1 (Top),9.13,0.796,84.6,0.6191424157282497,✅ SHORTLIST
Data Analyst,Male,European,Master,Tier 1 (Top),12.65,1.0,91.6,0.6949880311285398,✅ SHORTLIST
Data Analyst,Male,Asian (other),Bachelor,Tier 2,5.4,0.669,83.9,0.10758689448289757,❌ REJECT
Data Analyst,Female,American,High School,Tier 1 (Top),10.35,0.366,83.1,0.0817817215810023,❌ REJECT
Data Analyst,Female,Asian (other),Master,Tier 2,12.4,0.894,98.0,0.8275521634960551,✅ SHORTLIST
Data Analyst,Male,Indian,Bachelor,Tier 2,10.17,0.786,80.6,0.18180744542363855,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,6.62,0.793,77.6,0.21963653124206595,❌ REJECT
Data Analyst,Male,European,Master,Tier 3,13.36,0.916,77.9,0.4073287454591555,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,3.21,0.93,84.0,0.2114258404264231,❌ REJECT
Data Analyst,Female,American,High School,Tier 2,12.92,0.966,84.3,0.3657841539242886,❌ REJECT
Data Analyst,Male,European,Bachelor,Tier 2,4.46,0.534,82.4,0.06747681081495528,❌ REJECT
Data Analyst,Male,American,Master,Tier 2,4.36,0.615,74.1,0.08429156310021443,❌ REJECT
Data Analyst,Female,Indian,Master,Tier 3,8.6,0.656,86.1,0.23341387088571586,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 3,6.58,0.696,79.0,0.11967456259694234,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 3,15.8,1.0,78.2,0.4148214073339229,❌ REJECT
Data Analyst,Female,European,Bachelor,Tier 2,8.08,0.622,66.4,0.08350580300317038,❌ REJECT
Data Analyst,Male,African,Bachelor,Unknown,6.53,0.899,94.9,0.23140994475539045,❌ REJECT
Data Analyst,Male,Indian,High School,Tier 3,10.77,0.42,86.1,0.10144604698824487,❌ REJECT
Data Analyst,Male,Indian,High School,Tier 1 (Top),6.86,1.0,93.1,0.6000391813886098,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),13.96,0.799,72.8,0.124997350186766,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 2,5.8,0.516,84.9,0.12430037280610112,❌ REJECT
Data Analyst,Male,American,Master,Unknown,14.04,0.878,75.5,0.366674091844102,❌ REJECT
Data Analyst,Female,American,High School,Tier 3,11.82,1.0,98.0,0.3859608468386114,❌ REJECT
Data Analyst,Female,American,Master,Tier 3,5.1,0.809,64.5,0.06933320618375867,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,6.04,0.619,74.7,0.017887569281092575,❌ REJECT
Data Analyst,Male,Asian (other),Master,Tier 2,3.6,0.678,73.2,0.5482765550146889,✅ SHORTLIST
Data Analyst,Male,African,Bachelor,Tier 3,20.19,1.0,83.3,0.8057773385479376,✅ SHORTLIST
Data Analyst,Female,African,Master,Tier 1 (Top),7.42,0.916,97.9,0.42033533418548186,❌ REJECT
Data Analyst,Male,Indian,High School,Tier 1 (Top),10.72,1.0,98.0,0.7830423310302079,✅ SHORTLIST
Data Analyst,Male,European,Master,Tier 1 (Top),7.33,0.541,87.3,0.15921290366916774,❌ REJECT
Data Analyst,Female,Asian (other),PhD,Tier 2,7.9,0.715,75.0,0.1580380055853972,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,8.71,1.0,95.0,0.2751020501926251,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 3,9.85,0.773,73.7,0.17681419456050293,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 3,14.64,1.0,94.4,0.4662782546267243,❌ REJECT
Data Analyst,Female,American,PhD,Tier 3,12.53,0.805,87.3,0.5360387588108199,✅ SHORTLIST
Data Analyst,Female,Other,High School,Tier 3,15.15,0.862,92.7,0.4839556203834809,❌ REJECT
Data Analyst,Male,Other,Bachelor,Tier 3,8.38,0.776,69.1,0.20134528000254012,❌ REJECT
Data Analyst,Female,European,Bachelor,Tier 3,8.31,0.704,71.3,0.18238301469575696,❌ REJECT
Data Analyst,Female,European,Master,Tier 2,7.13,0.639,73.2,0.4658978812124963,❌ REJECT
Data Analyst,Male,African,Master,Tier 1 (Top),4.84,1.0,91.7,0.41815910048336924,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),6.14,0.679,82.3,0.1148855900325327,❌ REJECT
Data Analyst,Male,Asian (other),Bachelor,Tier 3,12.16,0.879,98.0,0.6456441215541611,✅ SHORTLIST
Data Analyst,Male,Asian (other),Bachelor,Tier 2,7.94,0.563,82.3,0.08917299894368073,❌ REJECT
Data Analyst,Female,Asian (other),Bachelor,Tier 2,5.04,1.0,98.0,0.72696975266601,✅ SHORTLIST
Data Analyst,Male,Other,Bachelor,Tier 2,13.04,0.681,86.2,0.7093115499578636,✅ SHORTLIST
Data Analyst,Female,European,Master,Tier 3,5.11,0.379,98.0,0.12071325171260316,❌ REJECT
Data Analyst,Female,European,Bachelor,Tier 3,8.42,0.79,73.9,0.5150339204399534,✅ SHORTLIST
Data Analyst,Female,European,Bachelor,Tier 2,12.09,1.0,61.4,0.2527683020541789,❌ REJECT
Data Analyst,Male,European,Master,Tier 3,8.87,0.624,58.5,0.11479043473591435,❌ REJECT
Data Analyst,Female,Indian,Master,Tier 2,10.9,1.0,73.9,0.3599475327321949,❌ REJECT
Data Analyst,Male,African,Bachelor,Tier 3,8.39,0.785,69.0,0.1326114260427213,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 2,18.04,0.383,98.0,0.20782159415217855,❌ REJECT
Data Analyst,Female,African,Bachelor,Tier 1 (Top),6.32,0.801,78.4,0.13510490784866655,❌ REJECT
Data Analyst,Female,Asian (other),Bachelor,Tier 3,10.02,0.724,69.1,0.15189179444704407,❌ REJECT
Data Analyst,Male,American,Bachelor,Unknown,13.95,0.895,83.1,0.3225110646428041,❌ REJECT
Data Analyst,Male,European,High School,Tier 2,6.19,0.387,73.8,0.027486964242272503,❌ REJECT
Data Analyst,Female,Asian (other),Bachelor,Tier 3,7.47,0.482,72.0,0.033786337951493745,❌ REJECT
Data Analyst,Male,Other,Master,Tier 2,15.15,1.0,81.1,0.740839898175051,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),5.14,0.881,76.9,0.22374335855547833,❌ REJECT
Data Analyst,Female,African,Bachelor,Tier 2,6.87,0.485,79.8,0.07468078555850671,❌ REJECT
Data Analyst,Male,European,Bachelor,Tier 1 (Top),8.39,0.838,73.3,0.6680744038818217,✅ SHORTLIST
Data Analyst,Male,Asian (other),Bachelor,Tier 3,4.38,0.505,92.9,0.14078637504312355,❌ REJECT
Data Analyst,Male,African,PhD,Tier 2,5.38,1.0,86.9,0.6180933970089607,✅ SHORTLIST
Data Analyst,Male,European,Bachelor,Tier 2,6.97,1.0,98.0,0.7754764575931051,✅ SHORTLIST
Data Analyst,Male,European,PhD,Tier 2,4.06,0.88,98.0,0.37110486628401845,❌ REJECT
Data Analyst,Female,Other,Bachelor,Tier 2,9.88,0.534,75.8,0.06922855107632914,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 3,28.34,1.0,98.0,0.6308538132378557,✅ SHORTLIST
Data Analyst,Male,Other,Master,Tier 2,16.06,0.953,81.6,0.7378458873773694,✅ SHORTLIST
Data Analyst,Male,European,PhD,Tier 3,8.28,1.0,87.1,0.3429590911916873,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 1 (Top),15.35,0.921,90.9,0.8102042055404673,✅ SHORTLIST
Data Analyst,Male,American,Master,Tier 3,13.6,1.0,87.3,0.7610743527515931,✅ SHORTLIST
Data Analyst,Female,American,High School,Tier 3,12.83,0.54,81.0,0.16301740747605367,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,8.04,0.531,75.1,0.032922041672926255,❌ REJECT
Data Analyst,Female,African,Bachelor,Tier 2,12.86,0.446,77.7,0.4821855674036052,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 3,7.92,1.0,73.0,0.22043872207123827,❌ REJECT
Data Analyst,Male,American,Bachelor,Tier 3,3.08,0.538,74.3,0.038820261388761775,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,7.44,0.881,96.8,0.28338441849376267,❌ REJECT
Data Analyst,Male,Indian,High School,Tier 2,5.19,0.843,91.9,0.1794785330270616,❌ REJECT
Data Analyst,Male,Asian (other),Bachelor,Tier 2,12.85,0.855,67.0,0.15116850680200586,❌ REJECT
Data Analyst,Male,American,Bachelor,Tier 3,16.86,0.827,92.2,0.32698093871010203,❌ REJECT
Data Analyst,Male,American,Master,Tier 1 (Top),7.17,0.386,88.9,0.17320744366254368,❌ REJECT
Data Analyst,Female,Other,High School,Unknown,12.88,0.905,75.5,0.30712708634667935,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 2,13.74,0.639,88.7,0.39069260096895725,❌ REJECT
Data Analyst,Non-binary/Other,Asian (other),Master,Tier 3,7.45,0.343,74.5,0.1295066538891237,❌ REJECT
Data Analyst,Male,European,Bachelor,Tier 1 (Top),23.2,0.89,80.4,0.7886661177863725,✅ SHORTLIST
Data Analyst,Female,European,Bachelor,Tier 2,6.96,0.831,65.3,0.1569092921153682,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,11.81,1.0,91.5,0.5079965773424191,✅ SHORTLIST
Data Analyst,Male,Indian,Bachelor,Tier 1 (Top),7.07,0.668,76.4,0.14444175635746406,❌ REJECT
Data Analyst,Non-binary/Other,American,Bachelor,Tier 3,26.01,1.0,87.6,0.6972234204522342,✅ SHORTLIST
Data Analyst,Female,Other,Bachelor,Tier 3,12.98,0.788,65.7,0.09339513899314225,❌ REJECT
Data Analyst,Male,European,Bachelor,Tier 3,12.73,0.497,88.8,0.1498136000370948,❌ REJECT
Data Analyst,Female,African,High School,Tier 1 (Top),16.34,0.809,98.0,0.7156977605540955,✅ SHORTLIST
Data Analyst,Female,European,Bachelor,Tier 2,5.55,1.0,78.9,0.554059072431829,✅ SHORTLIST
Data Analyst,Male,Indian,Bachelor,Tier 2,6.71,0.568,71.2,0.05482034515547257,❌ REJECT
Data Analyst,Male,American,Master,Tier 2,14.82,1.0,85.1,0.8497959290482413,✅ SHORTLIST
Data Analyst,Non-binary/Other,Indian,High School,Tier 1 (Top),8.18,0.674,86.2,0.13742206466738074,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 3,11.58,0.816,89.3,0.2814617168578343,❌ REJECT
Data Analyst,Male,Asian (other),Bachelor,Tier 2,12.51,1.0,98.0,0.8009111159603003,✅ SHORTLIST
Data Analyst,Female,Indian,High School,Tier 2,6.35,0.703,87.8,0.14310816821480882,❌ REJECT
Data Analyst,Female,European,Bachelor,Tier 3,3.61,0.468,83.5,0.0653599611850491,❌ REJECT
Data Analyst,Female,Asian (other),PhD,Tier 1 (Top),9.86,1.0,88.9,0.6664497847386122,✅ SHORTLIST
Data Analyst,Male,Asian (other),Bachelor,Tier 3,9.58,0.455,91.6,0.5492378534581386,✅ SHORTLIST
Data Analyst,Female,Asian (other),Master,Tier 3,22.01,0.886,98.0,0.8551607530540393,✅ SHORTLIST
Data Analyst,Female,Indian,Master,Tier 2,13.54,0.94,81.1,0.5445276116278538,✅ SHORTLIST
Data Analyst,Female,European,Bachelor,Tier 1 (Top),3.76,0.466,69.1,0.06676741314386767,❌ REJECT
Data Analyst,Female,Other,Bachelor,Tier 2,5.01,1.0,87.1,0.5040357273015518,✅ SHORTLIST
Data Analyst,Female,Indian,Master,Tier 2,16.31,0.961,83.8,0.6588359030378456,✅ SHORTLIST
Data Analyst,Female,Other,Master,Tier 1 (Top),6.02,1.0,64.0,0.30972293905245996,❌ REJECT
Data Analyst,Male,American,Bachelor,Tier 1 (Top),5.06,0.911,82.9,0.5739291580049652,✅ SHORTLIST
Data Analyst,Male,Indian,Bachelor,Tier 3,14.92,0.717,85.1,0.6770133691687594,✅ SHORTLIST
Data Analyst,Male,African,Master,Tier 2,8.23,1.0,81.7,0.37230816469717587,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 2,19.5,1.0,98.0,0.8845888244135963,✅ SHORTLIST
Data Analyst,Male,Indian,High School,Tier 2,7.49,1.0,71.0,0.19641724139482325,❌ REJECT
Data Analyst,Male,Other,Bachelor,Tier 2,11.49,0.587,69.3,0.0302754549302368,❌ REJECT
Data Analyst,Male,African,Bachelor,Tier 3,4.2,0.59,82.9,0.0695287312071573,❌ REJECT
Data Analyst,Male,Other,Master,Tier 2,5.91,0.728,81.7,0.22731905070721595,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 2,9.13,0.562,60.7,0.11004804945343771,❌ REJECT
Data Analyst,Male,American,Bachelor,Tier 3,9.45,0.521,74.9,0.10404767918823767,❌ REJECT
Data Analyst,Female,Indian,Master,Tier 3,8.55,0.496,73.8,0.1324467750596175,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 3,13.82,1.0,69.6,0.6727318092034303,✅ SHORTLIST
Data Analyst,Male,Asian (other),High School,Tier 2,5.78,0.638,53.2,0.05784517811251746,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),15.38,1.0,72.0,0.2559311919079206,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 2,20.33,0.715,82.1,0.2761673869753458,❌ REJECT
Data Analyst,Male,American,Bachelor,Tier 3,10.21,0.605,82.0,0.12113169689961277,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 2,9.59,0.687,86.5,0.19248949594685583,❌ REJECT
Data Analyst,Female,Asian (other),Bachelor,Tier 3,6.11,0.721,90.3,0.15402765253483405,❌ REJECT
Data Analyst,Male,European,Bachelor,Unknown,12.68,1.0,96.1,0.6836288933757596,✅ SHORTLIST
Data Analyst,Male,American,Master,Tier 3,10.14,1.0,97.0,0.786733354231681,✅ SHORTLIST
Data Analyst,Male,American,Bachelor,Tier 3,10.06,0.642,94.3,0.2951315180050796,❌ REJECT
Data Analyst,Male,European,Master,Tier 3,15.92,0.854,90.8,0.6165806016599382,✅ SHORTLIST
Data Analyst,Female,American,Master,Tier 2,8.31,0.816,57.5,0.5553301661478506,✅ SHORTLIST
Data Analyst,Male,African,Master,Tier 1 (Top),4.2,0.375,98.0,0.15145667405349636,❌ REJECT
Data Analyst,Female,American,Bachelor,Tier 2,15.04,0.888,80.6,0.45846502519398785,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 1 (Top),8.35,1.0,89.9,0.7961507018486106,✅ SHORTLIST
Data Analyst,Male,Indian,Master,Tier 2,8.55,1.0,87.7,0.5554086926585355,✅ SHORTLIST
Data Analyst,Female,Other,Bachelor,Tier 2,6.37,0.68,77.6,0.07305419500131614,❌ REJECT
Data Analyst,Non-binary/Other,African,High School,Tier 2,3.99,0.758,66.8,0.08599667004157784,❌ REJECT
Data Analyst,Male,European,Bachelor,Tier 3,7.96,0.77,87.7,0.1858838421082867,❌ REJECT
Data Analyst,Female,American,PhD,Tier 2,9.26,0.786,88.7,0.5941720963090832,✅ SHORTLIST
Data Analyst,Male,Other,Bachelor,Tier 2,6.52,0.769,83.8,0.19837334508437568,❌ REJECT
Data Analyst,Female,American,High School,Tier 3,13.49,0.803,82.4,0.17993045576269315,❌ REJECT
Data Analyst,Male,European,Master,Tier 3,10.27,0.872,77.6,0.23102933706087403,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),10.26,0.493,59.8,0.04735590726927279,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 2,12.15,0.582,92.3,0.21250098236428236,❌ REJECT
Data Analyst,Male,Indian,Master,Tier 2,17.24,1.0,90.9,0.7348814673141655,✅ SHORTLIST
Data Analyst,Male,American,Bachelor,Tier 2,4.62,0.764,83.3,0.1828450861153243,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 2,14.3,1.0,79.6,0.463766799515547,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 2,19.99,0.649,77.7,0.262641625101994,❌ REJECT
