candidate_id,age,age_group,gender,nationality,education_level,field_of_study,university_tier,years_of_experience,relevant_experience_years,current_salary,num_previous_jobs,skill_match_score,num_certifications,has_leadership_experience,interview_score,distance_from_office,job_role_applied,application_source,hired
36,22,Under 30,Male,Indian,Bachelor,Computer Science,Tier 1 (Top),12.31,12.26,119816.95,10,1.0,4,1,80.1,147.15,DevOps Engineer,Company Website,1
37,33,30-40,Female,European,Bachelor,Other,Tier 3,5.93,3.9,169959.6,2,0.421,2,1,65.4,53.21,Software Engineer,LinkedIn,0
38,21,Under 30,Male,Indian,Master,Computer Science,Tier 3,19.32,18.25,119009.92,3,1.0,1,0,98.0,30.24,Software Engineer,Job Portal,1
39,21,Under 30,Male,Indian,Master,Computer Science,Tier 2,3.17,1.39,67136.37,2,0.725,3,0,83.9,14.53,Data Analyst,Job Portal,0
40,33,30-40,Female,Indian,Bachelor,Arts/Humanities,Tier 3,7.96,5.74,102286.51,3,0.483,2,1,83.6,171.02,Product Manager,Job Portal,0
41,37,30-40,Male,Indian,Bachelor,Computer Science,Tier 2,10.01,8.74,137350.04,4,0.949,0,1,98.0,37.43,Network Administrator,Company Website,1
42,33,30-40,Male,Indian,PhD,Engineering,Tier 1 (Top),9.16,11.47,174866.51,5,1.0,2,0,85.6,71.26,Cyber Security Analyst,Referral,1
43,31,30-40,Female,African,Bachelor,Other,Tier 1 (Top),20.07,17.0,156598.92,2,1.0,4,1,76.3,85.53,Data Scientist,Referral,1
44,29,Under 30,Female,Indian,Bachelor,Business,Tier 1 (Top),17.51,15.17,133263.05,2,0.838,4,0,71.1,58.85,Data Analyst,LinkedIn,0
45,21,Under 30,Male,Indian,Master,Engineering,Tier 2,2.4,1.5,65301.56,3,1.0,1,1,95.4,61.62,Software Engineer,LinkedIn,0
46,26,Under 30,Male,Indian,Master,Business,Tier 3,2.63,2.33,106650.85,1,0.503,3,0,77.2,60.82,Data Analyst,Referral,0
47,28,Under 30,Female,American,PhD,Arts/Humanities,Tier 3,2.58,2.02,109743.1,5,0.546,2,1,72.4,107.33,Software Engineer,LinkedIn,0
48,40,30-40,Female,Other,PhD,Engineering,Tier 2,13.94,15.32,154909.91,4,1.0,2,0,92.7,236.03,Software Engineer,Company Website,1
49,34,30-40,Male,Indian,Master,Engineering,Tier 2,11.74,10.87,120774.12,6,0.877,1,0,75.7,109.72,HR Specialist,Referral,0
50,21,Under 30,Male,Indian,Bachelor,Other,Tier 3,3.58,3.65,96031.71,0,0.633,3,0,60.3,60.05,Software Engineer,Company Website,0
51,34,30-40,Male,American,Bachelor,Other,Tier 3,9.11,9.31,174174.5,3,1.0,4,0,78.8,82.46,Software Engineer,Company Website,1
52,28,Under 30,Male,European,Bachelor,Engineering,Tier 2,7.09,9.05,144298.82,3,0.352,6,1,48.8,40.03,Data Scientist,LinkedIn,0
53,26,Under 30,Male,Indian,High School,Computer Science,Tier 2,8.11,8.92,105862.7,0,0.572,3,0,80.7,30.11,Data Analyst,Job Portal,0
54,36,30-40,Male,Indian,Bachelor,Business,Tier 3,7.65,7.05,94047.02,3,0.762,2,0,95.9,94.4,Data Scientist,Company Website,1
55,40,30-40,Male,American,High School,Computer Science,Tier 3,8.12,8.38,71681.89,5,0.85,0,1,82.9,64.6,DevOps Engineer,LinkedIn,1
56,39,30-40,Male,Indian,Bachelor,Business,Tier 3,8.26,6.46,126932.09,2,0.822,2,0,84.7,13.94,Software Engineer,Company Website,0
57,25,Under 30,Female,Other,Bachelor,Engineering,Tier 2,19.7,19.95,144436.62,7,0.589,1,1,79.4,31.68,Data Analyst,Job Portal,1
58,29,Under 30,Male,Indian,Bachelor,Business,Tier 3,12.44,12.88,110547.7,2,1.0,3,1,98.0,69.42,Cyber Security Analyst,LinkedIn,1
59,34,30-40,Male,Indian,Bachelor,Engineering,Tier 1 (Top),4.3,4.57,80733.09,2,0.681,2,0,93.1,36.02,Data Scientist,Referral,0
60,39,30-40,Male,Asian (other),Master,Other,Tier 3,8.14,7.8,127763.36,1,0.585,2,0,84.9,63.98,Software Engineer,Other,0
61,28,Under 30,Female,African,Master,Computer Science,Tier 2,15.99,16.04,186055.17,4,0.762,1,0,72.2,104.71,Network Administrator,Company Website,0
62,30,30-40,Female,Indian,Master,Computer Science,Tier 3,9.44,11.44,133928.66,4,1.0,2,1,88.0,63.93,Data Scientist,Referral,0
63,23,Under 30,Female,Other,Bachelor,Arts/Humanities,Tier 1 (Top),12.36,11.41,107341.92,5,0.884,3,0,78.5,30.01,Data Analyst,Referral,1
64,22,Under 30,Male,European,Bachelor,Engineering,Tier 3,8.03,8.79,123644.98,6,0.558,4,0,69.6,107.3,Product Manager,LinkedIn,1
65,38,30-40,Female,Indian,Bachelor,Engineering,Tier 3,9.56,9.82,79817.25,6,0.911,0,1,78.5,67.93,Data Analyst,Company Website,0
66,42,Over 40,Male,American,Master,Other,Tier 3,21.02,20.68,145565.55,1,0.99,1,1,98.0,127.93,Data Analyst,Company Website,1
67,31,30-40,Male,Indian,Master,Engineering,Tier 3,7.14,5.6,133286.17,3,0.852,1,1,60.7,44.21,Network Administrator,LinkedIn,0
68,40,30-40,Female,Indian,Bachelor,Business,Tier 2,13.89,15.39,138223.38,2,1.0,4,1,95.8,146.87,Software Engineer,LinkedIn,0
69,34,30-40,Female,Indian,Master,Computer Science,Tier 3,11.15,10.05,106762.56,3,0.81,1,1,91.1,117.46,Marketing Specialist,LinkedIn,0
70,26,Under 30,Female,European,Bachelor,Business,Tier 2,1.9,3.4,73768.68,1,0.669,3,0,72.0,83.77,Software Engineer,Company Website,0
71,34,30-40,Female,Asian (other),Bachelor,Engineering,Tier 3,8.92,7.52,135379.79,1,0.926,0,0,68.8,106.87,Software Engineer,Company Website,0
72,44,Over 40,Female,Indian,Master,Engineering,Tier 3,10.41,8.24,123803.5,1,0.577,2,1,80.6,43.79,Software Engineer,LinkedIn,1
73,31,30-40,Male,Indian,Bachelor,Arts/Humanities,Tier 2,5.28,6.06,183305.84,1,0.875,1,1,87.3,133.46,Cloud Architect,LinkedIn,1
74,44,Over 40,Male,American,High School,Engineering,Unknown,5.6,6.03,69773.47,8,0.949,0,0,89.2,105.52,Cloud Architect,LinkedIn,0
75,21,Under 30,Male,European,Bachelor,Other,Tier 2,7.97,5.42,110094.77,5,0.497,0,1,83.7,69.16,DevOps Engineer,LinkedIn,0
76,38,30-40,Female,Asian (other),Master,Arts/Humanities,Tier 1 (Top),11.2,14.0,170188.86,3,0.878,1,0,75.0,64.98,Cyber Security Analyst,LinkedIn,0
77,32,30-40,Male,Indian,Bachelor,Business,Tier 2,13.09,12.52,130358.71,4,1.0,3,1,89.9,42.78,Product Manager,Job Portal,0
78,29,Under 30,Female,European,Bachelor,Engineering,Tier 1 (Top),2.91,3.25,61006.5,5,0.718,0,1,80.5,49.23,Data Scientist,LinkedIn,0
79,32,30-40,Male,American,Master,Engineering,Tier 2,19.12,20.31,156603.86,3,0.858,5,0,74.6,112.18,Cloud Architect,LinkedIn,1
80,21,Under 30,Male,Asian (other),Bachelor,Computer Science,Tier 1 (Top),1.97,2.33,77004.46,2,0.597,1,1,97.7,76.78,Software Engineer,Company Website,0
81,30,30-40,Male,Indian,Bachelor,Computer Science,Tier 2,15.02,14.38,159567.83,4,0.835,0,0,94.3,95.54,Product Manager,Company Website,0
82,34,30-40,Male,Indian,Bachelor,Computer Science,Tier 3,4.78,5.69,102947.05,1,0.642,3,0,83.4,144.2,Cloud Architect,Job Portal,0
83,43,Over 40,Female,American,Master,Other,Tier 1 (Top),20.39,21.47,220000.0,4,0.967,5,0,73.3,36.56,Cloud Architect,LinkedIn,1
84,27,Under 30,Male,African,Bachelor,Engineering,Tier 2,6.33,7.83,95268.43,3,1.0,1,0,85.9,36.01,Software Engineer,Referral,1
85,25,Under 30,Male,European,Master,Business,Tier 1 (Top),4.59,3.72,84867.29,1,0.459,0,0,79.4,18.78,Data Scientist,LinkedIn,0
86,27,Under 30,Male,Other,PhD,Engineering,Tier 3,5.97,6.44,135742.93,3,0.923,2,0,96.2,90.34,Software Engineer,Other,0
87,39,30-40,Male,Indian,Master,Engineering,Tier 3,9.69,9.48,128035.04,3,1.0,2,1,95.4,51.59,Network Administrator,LinkedIn,1
88,34,30-40,Male,American,Bachelor,Engineering,Tier 2,14.57,15.96,108446.48,4,1.0,1,0,82.2,34.35,DevOps Engineer,Other,1
89,27,Under 30,Male,American,Master,Engineering,Tier 3,4.55,3.51,74772.97,2,0.923,5,0,91.4,83.1,Software Engineer,LinkedIn,0
90,36,30-40,Female,European,Master,Other,Tier 2,17.86,19.36,162823.23,4,0.707,3,0,95.6,59.61,Software Engineer,Company Website,0
91,32,30-40,Male,Asian (other),Bachelor,Other,Tier 2,7.28,4.99,114476.81,2,0.298,2,1,87.8,123.68,Data Analyst,Job Portal,0
92,39,30-40,Male,African,Bachelor,Business,Tier 2,30.0,27.55,220000.0,4,1.0,4,1,74.7,107.67,Data Scientist,Referral,1
93,26,Under 30,Female,European,Master,Other,Tier 3,2.69,2.03,189489.26,3,0.584,1,1,81.2,47.47,Network Administrator,Company Website,0
94,29,Under 30,Male,European,Bachelor,Computer Science,Tier 2,10.16,11.75,149706.58,2,1.0,2,1,98.0,71.85,Data Scientist,Company Website,0
95,28,Under 30,Male,Other,Bachelor,Computer Science,Tier 3,3.55,6.05,77952.63,2,0.868,1,1,98.0,123.14,DevOps Engineer,LinkedIn,0
96,21,Under 30,Male,American,Master,Engineering,Unknown,1.7,1.07,98959.56,8,0.546,3,0,64.4,52.46,Network Administrator,Company Website,0
97,34,30-40,Male,African,Master,Other,Tier 2,9.93,10.22,107319.36,4,1.0,2,0,64.8,109.91,Software Engineer,Other,0
98,34,30-40,Female,Other,High School,Engineering,Tier 2,8.19,6.41,93242.62,1,0.521,1,0,75.3,19.92,Data Analyst,LinkedIn,0
99,32,30-40,Male,American,Bachelor,Engineering,Tier 2,7.23,5.64,103592.65,3,0.875,1,0,66.3,208.5,Product Manager,Referral,0
100,30,30-40,Female,Asian (other),Master,Computer Science,Tier 3,10.73,11.08,100224.43,5,1.0,2,0,96.5,135.95,HR Specialist,Company Website,1
101,21,Under 30,Female,Indian,Master,Other,Tier 3,2.71,3.97,110180.37,6,0.861,3,0,83.0,39.03,Cyber Security Analyst,LinkedIn,1
102,28,Under 30,Male,Indian,PhD,Arts/Humanities,Tier 3,5.26,6.43,100321.84,4,0.529,3,0,98.0,13.47,Data Scientist,Job Portal,0
103,29,Under 30,Male,European,Master,Engineering,Tier 3,3.72,3.1,67287.59,4,0.362,0,0,49.2,179.36,Software Engineer,LinkedIn,0
104,25,Under 30,Male,Indian,Master,Other,Tier 2,11.7,13.2,125021.62,4,0.998,3,1,92.7,103.89,Software Engineer,Company Website,1
105,30,30-40,Male,American,PhD,Computer Science,Unknown,5.92,6.88,99319.3,2,0.929,3,1,77.0,122.77,Network Administrator,LinkedIn,1
106,35,30-40,Female,African,High School,Engineering,Tier 1 (Top),24.47,24.79,184970.67,3,1.0,1,1,92.8,23.07,Software Engineer,Job Portal,1
107,47,Over 40,Female,Indian,High School,Computer Science,Tier 1 (Top),30.0,30.0,188986.61,0,1.0,2,1,93.0,29.21,Cyber Security Analyst,Other,0
108,33,30-40,Male,Indian,Bachelor,Engineering,Tier 2,7.1,7.61,74636.37,2,0.835,0,1,76.8,105.9,Software Engineer,Job Portal,1
109,34,30-40,Male,European,Bachelor,Computer Science,Tier 1 (Top),6.98,5.51,113578.79,7,0.997,3,0,90.7,64.43,Software Engineer,Job Portal,0
110,31,30-40,Male,Indian,Bachelor,Engineering,Tier 2,8.91,10.53,110980.08,3,0.625,3,1,62.4,133.41,Data Scientist,LinkedIn,0
111,21,Under 30,Male,American,Bachelor,Other,Tier 1 (Top),2.26,2.67,81738.56,6,0.386,3,0,83.8,147.74,Data Scientist,Referral,0
112,31,30-40,Female,American,Master,Engineering,Tier 2,7.69,10.29,94669.05,6,0.438,3,1,81.3,21.74,Cloud Architect,Referral,0
113,32,30-40,Female,Indian,Master,Engineering,Tier 2,10.2,8.56,113745.91,3,0.415,3,0,77.6,56.35,Software Engineer,LinkedIn,0
114,51,Over 40,Male,Indian,Bachelor,Business,Tier 2,22.25,19.65,128494.04,5,1.0,2,0,86.1,60.0,Data Analyst,Other,1
115,30,30-40,Female,African,Bachelor,Business,Tier 2,6.32,4.98,77336.58,4,0.965,2,1,76.4,48.64,Software Engineer,Company Website,0
116,34,30-40,Male,Indian,Bachelor,Other,Tier 3,21.26,20.62,177074.47,4,1.0,1,0,88.1,200.24,Cyber Security Analyst,LinkedIn,1
117,31,30-40,Male,American,Master,Engineering,Tier 3,6.57,6.43,150465.79,4,0.404,3,0,97.6,84.4,Software Engineer,Referral,1
118,22,Under 30,Male,Other,Bachelor,Arts/Humanities,Tier 1 (Top),3.57,3.35,114441.64,3,0.726,3,0,63.8,33.77,HR Specialist,LinkedIn,0
119,41,Over 40,Male,Asian (other),Master,Engineering,Tier 2,11.11,11.35,180063.42,4,0.986,1,0,87.4,79.0,Software Engineer,Job Portal,1
120,38,30-40,Female,Indian,High School,Computer Science,Tier 3,11.89,14.3,138676.21,5,0.803,2,1,77.6,159.51,Cyber Security Analyst,LinkedIn,0
121,38,30-40,Female,American,Bachelor,Engineering,Tier 2,22.94,21.69,164137.82,5,0.917,2,1,66.6,87.03,Network Administrator,Company Website,1
122,24,Under 30,Male,Asian (other),Bachelor,Engineering,Tier 2,16.13,15.39,144970.53,6,0.864,3,0,67.4,96.18,HR Specialist,Company Website,0
123,43,Over 40,Female,European,Bachelor,Engineering,Tier 3,7.57,8.47,167594.45,3,1.0,4,1,85.8,101.7,Software Engineer,Company Website,1
124,21,Under 30,Male,Asian (other),Master,Business,Tier 1 (Top),4.65,6.31,118461.08,3,0.562,2,0,79.3,101.12,Cloud Architect,Company Website,0
125,36,30-40,Female,American,Master,Engineering,Tier 3,20.04,21.04,186716.64,4,0.664,2,0,81.5,4.59,Network Administrator,Company Website,0
126,49,Over 40,Female,Indian,Bachelor,Other,Tier 2,24.0,24.7,159129.46,2,0.975,4,1,77.4,37.24,Cyber Security Analyst,Company Website,1
127,24,Under 30,Male,American,Master,Other,Tier 3,7.72,8.22,112885.66,1,1.0,2,0,87.9,80.89,HR Specialist,Job Portal,1
128,27,Under 30,Female,European,Bachelor,Engineering,Tier 1 (Top),19.9,20.09,163023.37,3,0.605,1,0,83.9,54.07,Data Scientist,Job Portal,1
129,32,30-40,Male,European,High School,Engineering,Unknown,30.0,28.94,197456.23,2,0.669,1,0,98.0,96.33,Network Administrator,LinkedIn,0
130,27,Under 30,Male,Indian,Master,Engineering,Tier 3,8.38,9.39,115187.25,3,0.833,4,1,70.9,30.1,Software Engineer,LinkedIn,1
131,21,Under 30,Female,Indian,Bachelor,Engineering,Tier 2,10.05,11.19,121863.12,4,0.394,1,0,94.2,63.33,DevOps Engineer,Company Website,0
132,32,30-40,Female,Other,High School,Other,Tier 3,2.54,4.09,84460.31,4,0.69,2,0,63.6,20.9,Cloud Architect,Referral,0
133,23,Under 30,Female,Indian,Bachelor,Computer Science,Tier 3,5.87,6.36,149527.93,4,0.483,2,1,86.3,113.32,Network Administrator,Job Portal,0
134,35,30-40,Female,Indian,Bachelor,Engineering,Tier 1 (Top),7.23,5.71,123525.57,3,1.0,1,1,98.0,71.82,Data Analyst,Job Portal,0
135,24,Under 30,Male,Asian (other),High School,Computer Science,Tier 3,10.01,8.23,72280.54,4,1.0,1,0,69.2,56.19,Data Scientist,Job Portal,0
136,44,Over 40,Male,American,Master,Business,Tier 2,19.74,19.5,220000.0,4,1.0,1,1,97.1,36.28,Software Engineer,Referral,0
137,25,Under 30,Non-binary/Other,Indian,Bachelor,Computer Science,Tier 1 (Top),3.77,3.24,111210.13,6,1.0,4,0,58.0,31.56,DevOps Engineer,LinkedIn,0
138,29,Under 30,Male,American,Bachelor,Other,Tier 1 (Top),4.55,2.93,81861.25,5,0.51,3,0,69.7,71.45,Marketing Specialist,Company Website,0
139,38,30-40,Female,European,Bachelor,Engineering,Tier 3,7.09,7.09,87728.28,6,1.0,3,1,66.9,72.06,Software Engineer,Other,0
140,22,Under 30,Male,American,Bachelor,Other,Unknown,23.65,23.32,213542.32,3,1.0,0,0,88.8,81.61,Software Engineer,Referral,0
141,33,30-40,Female,Other,Master,Other,Tier 3,11.14,12.41,160201.87,4,1.0,1,0,97.0,85.88,Cyber Security Analyst,Company Website,1
142,42,Over 40,Male,Indian,Master,Arts/Humanities,Tier 2,7.05,6.43,107589.87,4,1.0,7,1,82.2,51.79,Software Engineer,Company Website,0
143,21,Under 30,Female,European,PhD,Business,Unknown,12.89,13.59,142387.01,9,1.0,0,0,93.8,65.22,Cyber Security Analyst,LinkedIn,1
144,33,30-40,Female,Indian,Bachelor,Computer Science,Tier 2,12.8,10.69,152405.74,1,1.0,2,0,88.0,21.84,Data Analyst,LinkedIn,0
145,34,30-40,Female,American,PhD,Other,Tier 1 (Top),13.76,16.13,162842.95,3,1.0,3,1,83.5,88.16,Cloud Architect,LinkedIn,1
146,38,30-40,Male,Asian (other),Bachelor,Arts/Humanities,Tier 2,4.23,4.58,89753.91,3,0.954,3,1,69.9,46.13,Software Engineer,Referral,1
147,22,Under 30,Female,Indian,High School,Engineering,Unknown,3.05,1.58,78372.82,5,0.712,2,0,85.5,51.58,Software Engineer,LinkedIn,0
148,21,Under 30,Female,European,Master,Engineering,Tier 3,10.16,11.1,139904.98,6,1.0,4,1,87.5,19.8,Cyber Security Analyst,Job Portal,0
149,36,30-40,Female,Indian,Bachelor,Computer Science,Tier 2,7.59,6.94,116325.93,1,1.0,1,1,80.5,123.06,Network Administrator,Job Portal,0
150,34,30-40,Female,Indian,High School,Business,Tier 3,12.54,15.34,129185.28,6,0.935,3,0,98.0,24.31,Cyber Security Analyst,Job Portal,0
151,34,30-40,Male,American,Master,Computer Science,Tier 2,14.01,11.33,149798.61,5,0.434,4,1,85.7,40.78,Data Analyst,LinkedIn,0
152,34,30-40,Male,European,Master,Business,Tier 1 (Top),7.08,8.72,109634.93,3,0.936,1,1,98.0,60.97,Cyber Security Analyst,LinkedIn,0
153,26,Under 30,Male,Indian,Bachelor,Business,Tier 2,8.0,6.85,107148.29,5,0.733,5,0,93.9,54.19,Data Analyst,LinkedIn,1
154,33,30-40,Male,Other,Master,Engineering,Tier 1 (Top),7.82,9.15,105772.84,5,1.0,3,0,95.3,33.21,DevOps Engineer,LinkedIn,1
155,34,30-40,Female,Indian,Master,Other,Tier 2,16.09,14.95,147843.36,3,0.884,1,0,76.0,45.34,Software Engineer,Referral,1
156,26,Under 30,Male,Indian,Master,Arts/Humanities,Tier 3,6.06,6.65,101012.6,5,0.373,5,0,78.6,28.15,Cloud Architect,LinkedIn,0
157,46,Over 40,Male,Indian,Bachelor,Engineering,Tier 2,7.56,8.94,141127.49,4,0.656,3,1,76.1,91.42,Data Scientist,Company Website,0
158,35,30-40,Male,Indian,Master,Other,Tier 2,13.8,11.09,156147.7,2,1.0,4,0,92.3,33.63,Data Analyst,Company Website,1
159,22,Under 30,Male,Indian,Master,Other,Tier 3,8.44,10.41,133078.38,6,0.817,4,0,84.0,43.51,Data Scientist,Other,0
160,37,30-40,Male,Asian (other),Master,Business,Tier 2,7.3,7.1,124031.91,3,1.0,3,0,67.3,53.86,Software Engineer,LinkedIn,0
161,24,Under 30,Male,American,Master,Computer Science,Tier 1 (Top),3.63,5.03,90039.03,6,0.843,2,0,71.6,181.4,Data Scientist,LinkedIn,0
162,38,30-40,Male,American,Bachelor,Engineering,Tier 2,7.25,5.15,157245.43,5,0.54,3,0,92.3,25.48,HR Specialist,Job Portal,0
163,41,Over 40,Male,Other,Bachelor,Other,Tier 2,9.15,6.93,177679.42,5,0.45,1,1,81.3,164.87,Software Engineer,LinkedIn,0
164,25,Under 30,Non-binary/Other,Indian,PhD,Business,Tier 2,14.24,14.79,165605.23,2,0.89,2,0,80.9,153.24,Cyber Security Analyst,Job Portal,0
165,39,30-40,Male,Indian,Bachelor,Engineering,Tier 2,19.06,19.46,220000.0,4,1.0,1,1,98.0,74.39,Product Manager,LinkedIn,1
166,35,30-40,Male,Indian,Bachelor,Other,Tier 2,6.09,6.76,124244.13,2,0.898,0,1,83.3,113.14,Product Manager,LinkedIn,0
167,38,30-40,Non-binary/Other,Indian,Master,Computer Science,Tier 2,12.99,10.32,138301.41,1,0.848,2,1,96.6,98.7,Software Engineer,LinkedIn,0
168,47,Over 40,Female,American,Bachelor,Computer Science,Tier 3,12.78,12.96,200952.99,5,0.771,0,1,90.0,136.74,Network Administrator,Other,1
169,30,30-40,Non-binary/Other,Indian,Bachelor,Other,Tier 1 (Top),7.58,7.95,174319.07,3,1.0,3,0,98.0,70.52,Network Administrator,LinkedIn,0
170,25,Under 30,Female,American,Bachelor,Computer Science,Tier 2,4.24,5.88,128692.17,5,0.759,2,0,94.7,41.3,Cyber Security Analyst,LinkedIn,0
171,24,Under 30,Male,European,Master,Engineering,Tier 3,6.58,7.36,150322.87,5,0.455,0,0,90.9,76.69,Data Scientist,LinkedIn,0
172,25,Under 30,Female,Asian (other),PhD,Other,Tier 3,2.43,2.97,103848.52,3,0.575,0,1,69.4,33.42,Software Engineer,Referral,0
173,31,30-40,Male,Asian (other),Master,Business,Tier 2,3.57,4.26,128256.9,3,0.574,2,0,81.3,26.68,Software Engineer,Company Website,0
174,34,30-40,Male,Indian,Bachelor,Business,Tier 3,7.89,9.12,123656.69,3,0.733,3,0,69.3,65.66,Cyber Security Analyst,Referral,0
175,34,30-40,Female,Indian,PhD,Business,Tier 3,10.97,10.01,121133.72,1,0.966,1,0,89.8,23.37,Data Analyst,LinkedIn,1
176,38,30-40,Male,American,Bachelor,Engineering,Tier 2,18.5,17.52,160960.25,2,0.636,1,0,86.2,71.28,Data Analyst,Company Website,1
177,32,30-40,Female,Indian,Bachelor,Engineering,Tier 3,5.12,6.62,118584.6,3,0.649,2,1,93.6,58.83,Software Engineer,Company Website,0
