age,gender,nationality,education_level,field_of_study,university_tier,years_of_experience,relevant_experience_years,current_salary,num_previous_jobs,skill_match_score,num_certifications,has_leadership_experience,interview_score,distance_from_office,job_role_applied,application_source,hired
27,1,4,2,2,1,6.45,4.34,110273.1,2,0.894,1,0,74.6,169.84,6,0,0
32,0,4,0,2,1,7.86,7.1,115881.07,6,0.966,3,1,83.5,32.77,2,2,1
22,1,5,0,0,2,10.84,12.44,152124.88,7,1.0,3,0,83.5,110.74,1,1,0
35,1,5,2,3,2,13.59,17.09,167255.44,3,1.0,6,1,74.4,17.73,0,2,1
27,1,3,2,2,2,7.93,6.8,128692.3,1,1.0,1,1,90.6,53.37,9,2,1
29,1,5,1,3,2,6.16,3.94,79514.8,5,0.165,1,0,54.5,123.97,7,1,0
27,1,5,3,3,3,2.18,1.79,83297.57,1,0.568,0,0,76.7,84.48,9,4,0
46,1,4,2,0,1,13.46,14.18,195619.4,1,1.0,1,0,84.7,82.46,2,1,0
31,1,1,0,3,1,8.66,8.33,94352.6,10,0.859,5,0,74.3,123.07,1,2,0
23,1,5,0,0,1,11.87,10.64,117361.54,2,1.0,0,1,74.7,48.62,3,2,1
38,0,3,0,1,1,5.28,4.11,80054.03,3,0.26,1,1,98.0,124.8,7,0,0
22,1,4,0,2,0,12.31,12.26,119816.95,10,1.0,4,1,80.1,147.15,4,0,1
33,0,3,0,4,2,5.93,3.9,169959.6,2,0.421,2,1,65.4,53.21,9,2,0
21,1,4,2,2,2,19.32,18.25,119009.92,3,1.0,1,0,98.0,30.24,9,1,1
21,1,4,2,2,1,3.17,1.39,67136.37,2,0.725,3,0,83.9,14.53,2,1,0
33,0,4,0,0,2,7.96,5.74,102286.51,3,0.483,2,1,83.6,171.02,8,1,0
37,1,4,0,2,1,10.01,8.74,137350.04,4,0.949,0,1,98.0,37.43,7,0,1
33,1,4,3,3,0,9.16,11.47,174866.51,5,1.0,2,0,85.6,71.26,1,4,1
31,0,0,0,4,0,20.07,17.0,156598.92,2,1.0,4,1,76.3,85.53,3,4,1
29,0,4,0,1,0,17.51,15.17,133263.05,2,0.838,4,0,71.1,58.85,2,2,0
21,1,4,2,3,1,2.4,1.5,65301.56,3,1.0,1,1,95.4,61.62,9,2,0
26,1,4,2,1,2,2.63,2.33,106650.85,1,0.503,3,0,77.2,60.82,2,4,0
28,0,1,3,0,2,2.58,2.02,109743.1,5,0.546,2,1,72.4,107.33,9,2,0
40,0,5,3,3,1,13.94,15.32,154909.91,4,1.0,2,0,92.7,236.03,9,0,1
34,1,4,2,3,1,11.74,10.87,120774.12,6,0.877,1,0,75.7,109.72,5,4,0
21,1,4,0,4,2,3.58,3.65,96031.71,0,0.633,3,0,60.3,60.05,9,0,0
34,1,1,0,4,2,9.11,9.31,174174.5,3,1.0,4,0,78.8,82.46,9,0,1
28,1,3,0,3,1,7.09,9.05,144298.82,3,0.352,6,1,48.8,40.03,3,2,0
26,1,4,1,2,1,8.11,8.92,105862.7,0,0.572,3,0,80.7,30.11,2,1,0
36,1,4,0,1,2,7.65,7.05,94047.02,3,0.762,2,0,95.9,94.4,3,0,1
40,1,1,1,2,2,8.12,8.38,71681.89,5,0.85,0,1,82.9,64.6,4,2,1
39,1,4,0,1,2,8.26,6.46,126932.09,2,0.822,2,0,84.7,13.94,9,0,0
25,0,5,0,3,1,19.7,19.95,144436.62,7,0.589,1,1,79.4,31.68,2,1,1
29,1,4,0,1,2,12.44,12.88,110547.7,2,1.0,3,1,98.0,69.42,1,2,1
34,1,4,0,3,0,4.3,4.57,80733.09,2,0.681,2,0,93.1,36.02,3,4,0
39,1,2,2,4,2,8.14,7.8,127763.36,1,0.585,2,0,84.9,63.98,9,3,0
28,0,0,2,2,1,15.99,16.04,186055.17,4,0.762,1,0,72.2,104.71,7,0,0
30,0,4,2,2,2,9.44,11.44,133928.66,4,1.0,2,1,88.0,63.93,3,4,0
23,0,5,0,0,0,12.36,11.41,107341.92,5,0.884,3,0,78.5,30.01,2,4,1
22,1,3,0,3,2,8.03,8.79,123644.98,6,0.558,4,0,69.6,107.3,8,2,1
38,0,4,0,3,2,9.56,9.82,79817.25,6,0.911,0,1,78.5,67.93,2,0,0
42,1,1,2,4,2,21.02,20.68,145565.55,1,0.99,1,1,98.0,127.93,2,0,1
31,1,4,2,3,2,7.14,5.6,133286.17,3,0.852,1,1,60.7,44.21,7,2,0
40,0,4,0,1,1,13.89,15.39,138223.38,2,1.0,4,1,95.8,146.87,9,2,0
34,0,4,2,2,2,11.15,10.05,106762.56,3,0.81,1,1,91.1,117.46,6,2,0
26,0,3,0,1,1,1.9,3.4,73768.68,1,0.669,3,0,72.0,83.77,9,0,0
34,0,2,0,3,2,8.92,7.52,135379.79,1,0.926,0,0,68.8,106.87,9,0,0
44,0,4,2,3,2,10.41,8.24,123803.5,1,0.577,2,1,80.6,43.79,9,2,1
31,1,4,0,0,1,5.28,6.06,183305.84,1,0.875,1,1,87.3,133.46,0,2,1
44,1,1,1,3,3,5.6,6.03,69773.47,8,0.949,0,0,89.2,105.52,0,2,0
21,1,3,0,4,1,7.97,5.42,110094.77,5,0.497,0,1,83.7,69.16,4,2,0
38,0,2,2,0,0,11.2,14.0,170188.86,3,0.878,1,0,75.0,64.98,1,2,0
32,1,4,0,1,1,13.09,12.52,130358.71,4,1.0,3,1,89.9,42.78,8,1,0
29,0,3,0,3,0,2.91,3.25,61006.5,5,0.718,0,1,80.5,49.23,3,2,0
32,1,1,2,3,1,19.12,20.31,156603.86,3,0.858,5,0,74.6,112.18,0,2,1
21,1,2,0,2,0,1.97,2.33,77004.46,2,0.597,1,1,97.7,76.78,9,0,0
30,1,4,0,2,1,15.02,14.38,159567.83,4,0.835,0,0,94.3,95.54,8,0,0
34,1,4,0,2,2,4.78,5.69,102947.05,1,0.642,3,0,83.4,144.2,0,1,0
43,0,1,2,4,0,20.39,21.47,220000.0,4,0.967,5,0,73.3,36.56,0,2,1
27,1,0,0,3,1,6.33,7.83,95268.43,3,1.0,1,0,85.9,36.01,9,4,1
25,1,3,2,1,0,4.59,3.72,84867.29,1,0.459,0,0,79.4,18.78,3,2,0
27,1,5,3,3,2,5.97,6.44,135742.93,3,0.923,2,0,96.2,90.34,9,3,0
39,1,4,2,3,2,9.69,9.48,128035.04,3,1.0,2,1,95.4,51.59,7,2,1
34,1,1,0,3,1,14.57,15.96,108446.48,4,1.0,1,0,82.2,34.35,4,3,1
27,1,1,2,3,2,4.55,3.51,74772.97,2,0.923,5,0,91.4,83.1,9,2,0
36,0,3,2,4,1,17.86,19.36,162823.23,4,0.707,3,0,95.6,59.61,9,0,0
32,1,2,0,4,1,7.28,4.99,114476.81,2,0.298,2,1,87.8,123.68,2,1,0
39,1,0,0,1,1,30.0,27.55,220000.0,4,1.0,4,1,74.7,107.67,3,4,1
26,0,3,2,4,2,2.69,2.03,189489.26,3,0.584,1,1,81.2,47.47,7,0,0
29,1,3,0,2,1,10.16,11.75,149706.58,2,1.0,2,1,98.0,71.85,3,0,0
28,1,5,0,2,2,3.55,6.05,77952.63,2,0.868,1,1,98.0,123.14,4,2,0
21,1,1,2,3,3,1.7,1.07,98959.56,8,0.546,3,0,64.4,52.46,7,0,0
34,1,0,2,4,1,9.93,10.22,107319.36,4,1.0,2,0,64.8,109.91,9,3,0
34,0,5,1,3,1,8.19,6.41,93242.62,1,0.521,1,0,75.3,19.92,2,2,0
32,1,1,0,3,1,7.23,5.64,103592.65,3,0.875,1,0,66.3,208.5,8,4,0
30,0,2,2,2,2,10.73,11.08,100224.43,5,1.0,2,0,96.5,135.95,5,0,1
21,0,4,2,4,2,2.71,3.97,110180.37,6,0.861,3,0,83.0,39.03,1,2,1
28,1,4,3,0,2,5.26,6.43,100321.84,4,0.529,3,0,98.0,13.47,3,1,0
29,1,3,2,3,2,3.72,3.1,67287.59,4,0.362,0,0,49.2,179.36,9,2,0
25,1,4,2,4,1,11.7,13.2,125021.62,4,0.998,3,1,92.7,103.89,9,0,1
30,1,1,3,2,3,5.92,6.88,99319.3,2,0.929,3,1,77.0,122.77,7,2,1
35,0,0,1,3,0,24.47,24.79,184970.67,3,1.0,1,1,92.8,23.07,9,1,1
47,0,4,1,2,0,30.0,30.0,188986.61,0,1.0,2,1,93.0,29.21,1,3,0
33,1,4,0,3,1,7.1,7.61,74636.37,2,0.835,0,1,76.8,105.9,9,1,1
34,1,3,0,2,0,6.98,5.51,113578.79,7,0.997,3,0,90.7,64.43,9,1,0
31,1,4,0,3,1,8.91,10.53,110980.08,3,0.625,3,1,62.4,133.41,3,2,0
21,1,1,0,4,0,2.26,2.67,81738.56,6,0.386,3,0,83.8,147.74,3,4,0
31,0,1,2,3,1,7.69,10.29,94669.05,6,0.438,3,1,81.3,21.74,0,4,0
32,0,4,2,3,1,10.2,8.56,113745.91,3,0.415,3,0,77.6,56.35,9,2,0
51,1,4,0,1,1,22.25,19.65,128494.04,5,1.0,2,0,86.1,60.0,2,3,1
30,0,0,0,1,1,6.32,4.98,77336.58,4,0.965,2,1,76.4,48.64,9,0,0
34,1,4,0,4,2,21.26,20.62,177074.47,4,1.0,1,0,88.1,200.24,1,2,1
31,1,1,2,3,2,6.57,6.43,150465.79,4,0.404,3,0,97.6,84.4,9,4,1
22,1,5,0,0,0,3.57,3.35,114441.64,3,0.726,3,0,63.8,33.77,5,2,0
41,1,2,2,3,1,11.11,11.35,180063.42,4,0.986,1,0,87.4,79.0,9,1,1
38,0,4,1,2,2,11.89,14.3,138676.21,5,0.803,2,1,77.6,159.51,1,2,0
38,0,1,0,3,1,22.94,21.69,164137.82,5,0.917,2,1,66.6,87.03,7,0,1
24,1,2,0,3,1,16.13,15.39,144970.53,6,0.864,3,0,67.4,96.18,5,0,0
43,0,3,0,3,2,7.57,8.47,167594.45,3,1.0,4,1,85.8,101.7,9,0,1
21,1,2,2,1,0,4.65,6.31,118461.08,3,0.562,2,0,79.3,101.12,0,0,0
36,0,1,2,3,2,20.04,21.04,186716.64,4,0.664,2,0,81.5,4.59,7,0,0
49,0,4,0,4,1,24.0,24.7,159129.46,2,0.975,4,1,77.4,37.24,1,0,1
24,1,1,2,4,2,7.72,8.22,112885.66,1,1.0,2,0,87.9,80.89,5,1,1
27,0,3,0,3,0,19.9,20.09,163023.37,3,0.605,1,0,83.9,54.07,3,1,1
32,1,3,1,3,3,30.0,28.94,197456.23,2,0.669,1,0,98.0,96.33,7,2,0
27,1,4,2,3,2,8.38,9.39,115187.25,3,0.833,4,1,70.9,30.1,9,2,1
21,0,4,0,3,1,10.05,11.19,121863.12,4,0.394,1,0,94.2,63.33,4,0,0
32,0,5,1,4,2,2.54,4.09,84460.31,4,0.69,2,0,63.6,20.9,0,4,0
23,0,4,0,2,2,5.87,6.36,149527.93,4,0.483,2,1,86.3,113.32,7,1,0
35,0,4,0,3,0,7.23,5.71,123525.57,3,1.0,1,1,98.0,71.82,2,1,0
24,1,2,1,2,2,10.01,8.23,72280.54,4,1.0,1,0,69.2,56.19,3,1,0
44,1,1,2,1,1,19.74,19.5,220000.0,4,1.0,1,1,97.1,36.28,9,4,0
25,2,4,0,2,0,3.77,3.24,111210.13,6,1.0,4,0,58.0,31.56,4,2,0
29,1,1,0,4,0,4.55,2.93,81861.25,5,0.51,3,0,69.7,71.45,6,0,0
38,0,3,0,3,2,7.09,7.09,87728.28,6,1.0,3,1,66.9,72.06,9,3,0
22,1,1,0,4,3,23.65,23.32,213542.32,3,1.0,0,0,88.8,81.61,9,4,0
33,0,5,2,4,2,11.14,12.41,160201.87,4,1.0,1,0,97.0,85.88,1,0,1
42,1,4,2,0,1,7.05,6.43,107589.87,4,1.0,7,1,82.2,51.79,9,0,0
21,0,3,3,1,3,12.89,13.59,142387.01,9,1.0,0,0,93.8,65.22,1,2,1
33,0,4,0,2,1,12.8,10.69,152405.74,1,1.0,2,0,88.0,21.84,2,2,0
34,0,1,3,4,0,13.76,16.13,162842.95,3,1.0,3,1,83.5,88.16,0,2,1
38,1,2,0,0,1,4.23,4.58,89753.91,3,0.954,3,1,69.9,46.13,9,4,1
22,0,4,1,3,3,3.05,1.58,78372.82,5,0.712,2,0,85.5,51.58,9,2,0
21,0,3,2,3,2,10.16,11.1,139904.98,6,1.0,4,1,87.5,19.8,1,1,0
36,0,4,0,2,1,7.59,6.94,116325.93,1,1.0,1,1,80.5,123.06,7,1,0
34,0,4,1,1,2,12.54,15.34,129185.28,6,0.935,3,0,98.0,24.31,1,1,0
34,1,1,2,2,1,14.01,11.33,149798.61,5,0.434,4,1,85.7,40.78,2,2,0
34,1,3,2,1,0,7.08,8.72,109634.93,3,0.936,1,1,98.0,60.97,1,2,0
26,1,4,0,1,1,8.0,6.85,107148.29,5,0.733,5,0,93.9,54.19,2,2,1
33,1,5,2,3,0,7.82,9.15,105772.84,5,1.0,3,0,95.3,33.21,4,2,1
34,0,4,2,4,1,16.09,14.95,147843.36,3,0.884,1,0,76.0,45.34,9,4,1
26,1,4,2,0,2,6.06,6.65,101012.6,5,0.373,5,0,78.6,28.15,0,2,0
46,1,4,0,3,1,7.56,8.94,141127.49,4,0.656,3,1,76.1,91.42,3,0,0
35,1,4,2,4,1,13.8,11.09,156147.7,2,1.0,4,0,92.3,33.63,2,0,1
22,1,4,2,4,2,8.44,10.41,133078.38,6,0.817,4,0,84.0,43.51,3,3,0
37,1,2,2,1,1,7.3,7.1,124031.91,3,1.0,3,0,67.3,53.86,9,2,0
24,1,1,2,2,0,3.63,5.03,90039.03,6,0.843,2,0,71.6,181.4,3,2,0
38,1,1,0,3,1,7.25,5.15,157245.43,5,0.54,3,0,92.3,25.48,5,1,0
41,1,5,0,4,1,9.15,6.93,177679.42,5,0.45,1,1,81.3,164.87,9,2,0
25,2,4,3,1,1,14.24,14.79,165605.23,2,0.89,2,0,80.9,153.24,1,1,0
39,1,4,0,3,1,19.06,19.46,220000.0,4,1.0,1,1,98.0,74.39,8,2,1
35,1,4,0,4,1,6.09,6.76,124244.13,2,0.898,0,1,83.3,113.14,8,2,0
38,2,4,2,2,1,12.99,10.32,138301.41,1,0.848,2,1,96.6,98.7,9,2,0
47,0,1,0,2,2,12.78,12.96,200952.99,5,0.771,0,1,90.0,136.74,7,3,1
30,2,4,0,4,0,7.58,7.95,174319.07,3,1.0,3,0,98.0,70.52,7,2,0
25,0,1,0,2,1,4.24,5.88,128692.17,5,0.759,2,0,94.7,41.3,1,2,0
24,1,3,2,3,2,6.58,7.36,150322.87,5,0.455,0,0,90.9,76.69,3,2,0
25,0,2,3,4,2,2.43,2.97,103848.52,3,0.575,0,1,69.4,33.42,9,4,0
31,1,2,2,1,1,3.57,4.26,128256.9,3,0.574,2,0,81.3,26.68,9,0,0
34,1,4,0,1,2,7.89,9.12,123656.69,3,0.733,3,0,69.3,65.66,1,4,0
34,0,4,3,1,2,10.97,10.01,121133.72,1,0.966,1,0,89.8,23.37,2,2,1
38,1,1,0,3,1,18.5,17.52,160960.25,2,0.636,1,0,86.2,71.28,2,0,1
32,0,4,0,3,2,5.12,6.62,118584.6,3,0.649,2,1,93.6,58.83,9,0,0
43,0,4,0,1,0,13.19,12.86,164143.85,5,0.871,1,0,98.0,52.12,6,1,0
29,1,1,3,3,1,4.12,4.23,99325.02,4,0.729,2,0,87.3,74.15,9,0,0
53,0,4,1,0,2,15.78,17.54,168320.78,1,0.922,3,0,69.8,36.66,0,4,0
37,1,2,2,3,2,10.78,10.28,113824.45,6,0.552,2,1,85.5,69.52,9,0,0
25,1,4,0,2,1,8.2,11.36,93708.44,2,1.0,5,1,83.7,165.55,0,0,0
23,0,5,1,2,1,2.39,4.24,67396.9,0,0.775,4,0,85.8,52.46,0,2,0
35,1,2,2,3,0,3.27,0.5,84807.39,5,0.5,2,1,77.3,45.43,6,0,0
30,0,4,0,4,1,11.11,12.81,129230.38,2,1.0,3,0,83.4,42.75,1,0,0
37,1,1,2,3,1,21.3,22.8,185649.65,3,1.0,0,0,92.7,11.73,9,0,0
35,1,3,0,2,2,20.7,19.99,175694.43,3,1.0,0,1,84.1,60.07,4,1,1
31,0,3,2,2,0,15.92,15.68,147734.46,5,1.0,1,0,91.2,62.7,9,1,1
25,0,1,2,3,0,12.35,12.74,169038.54,5,0.898,1,0,92.9,46.21,9,2,1
21,1,1,0,2,1,21.86,19.28,152730.84,5,0.723,4,0,82.1,44.01,7,0,0
28,1,4,0,2,1,11.99,12.99,126966.64,4,0.806,2,0,71.7,66.03,7,3,0
38,0,4,3,1,0,6.29,6.11,159172.81,2,0.725,2,0,89.8,81.24,7,2,0
33,1,5,2,0,1,10.7,12.7,217961.59,3,1.0,0,1,87.4,16.73,3,0,1
22,0,4,0,4,3,1.77,1.0,67077.04,2,0.706,4,0,74.5,68.77,2,2,0
33,1,4,2,4,1,8.81,10.56,133801.84,5,1.0,3,0,91.7,37.9,1,2,1
35,0,4,2,3,0,12.95,13.91,125939.82,2,1.0,3,1,98.0,50.39,2,0,1
24,0,0,1,1,0,5.2,6.7,89913.67,5,0.72,2,1,92.6,76.4,9,4,0
33,1,3,0,3,0,5.76,4.1,111341.13,4,0.318,1,1,73.5,64.36,9,2,0
32,0,2,3,2,1,9.36,6.15,182809.37,5,0.762,1,0,93.4,74.18,2,0,1
22,0,2,3,3,2,11.17,10.12,158109.24,3,1.0,0,0,83.3,95.69,5,2,1
34,0,2,2,2,2,14.64,13.3,100059.16,4,1.0,4,1,88.3,96.27,6,2,1
36,1,1,0,2,1,20.63,20.05,152375.84,4,1.0,1,1,98.0,53.33,5,2,1
40,0,4,3,2,2,10.95,9.53,161010.42,4,0.767,0,1,91.8,28.79,9,1,0
40,0,4,2,4,2,6.78,8.64,120830.75,3,0.384,3,0,84.6,37.42,1,0,0
21,0,3,0,4,1,2.12,4.95,106544.55,8,0.897,5,0,83.7,191.0,0,1,0
24,0,4,2,3,1,10.24,11.05,110343.77,8,0.854,0,0,96.2,84.95,3,2,0
36,1,1,2,2,1,19.23,19.44,134014.0,6,0.843,3,1,80.3,97.05,1,2,0
36,2,1,0,2,1,7.73,6.58,107798.53,2,0.64,1,0,69.2,37.02,9,2,0
36,1,3,2,3,1,8.24,8.54,93696.66,3,1.0,2,1,98.0,82.29,5,1,1
55,1,4,2,1,2,22.16,22.04,169181.99,3,0.855,3,0,80.7,58.71,9,2,1
36,1,4,1,0,1,13.29,14.79,117560.25,2,0.909,2,0,88.0,83.38,8,2,0
41,1,2,2,2,1,7.61,8.76,93770.86,5,1.0,2,0,85.6,98.57,9,0,0
39,1,4,3,3,0,13.63,14.28,216263.51,2,1.0,2,1,84.1,69.5,3,2,1
37,1,3,1,4,1,6.27,7.15,125318.62,4,0.342,1,1,66.0,57.56,9,1,0
29,1,1,0,2,2,5.2,4.89,91392.73,1,0.359,2,0,82.0,90.44,9,0,0
38,0,5,0,3,2,4.71,4.78,116180.47,2,0.47,2,1,74.0,68.98,0,2,0
25,1,0,0,2,2,4.11,2.46,110535.04,4,0.642,1,1,65.7,75.89,5,2,0
30,1,1,2,2,2,12.73,10.45,163064.86,6,0.803,3,0,82.7,40.69,8,2,0
28,1,3,0,0,1,9.5,9.26,120036.22,2,0.85,0,1,91.5,97.92,2,0,0
32,1,4,3,1,2,8.27,9.59,137364.64,7,0.8,2,1,75.6,40.65,1,2,1
50,1,1,3,3,1,9.31,7.62,93387.88,6,0.941,1,0,66.5,93.01,2,0,0
21,0,2,0,3,0,8.67,6.71,120597.54,6,0.76,0,1,81.0,80.81,9,4,0
37,0,3,0,0,1,5.86,4.89,117654.7,6,1.0,2,1,80.7,119.61,9,1,1
21,0,1,0,2,1,3.82,2.39,64626.37,6,0.9,3,1,79.6,41.43,9,3,0
28,0,4,0,2,1,6.37,8.27,85134.35,1,1.0,3,0,96.9,199.45,0,0,0
40,1,2,0,4,2,25.12,26.25,217422.77,1,1.0,4,0,73.3,105.4,9,2,1
32,1,4,0,0,2,8.5,8.55,126798.4,1,1.0,3,0,82.3,39.51,1,1,1
23,1,2,1,0,1,12.44,12.63,126808.53,3,0.856,3,0,98.0,32.1,9,4,1
26,0,3,0,1,1,8.04,7.28,119736.53,5,0.652,5,0,56.4,55.54,7,1,0
37,1,4,2,3,1,18.64,19.64,177950.39,4,0.859,2,0,98.0,100.59,2,2,0
26,1,4,0,4,0,14.69,13.12,167126.15,4,1.0,4,1,94.1,64.7,1,2,1
33,1,4,1,3,2,6.84,5.05,57831.14,2,0.837,2,1,79.1,129.52,2,2,0
32,1,0,2,3,0,11.1,10.41,181208.63,4,1.0,4,0,94.6,27.44,1,2,0
26,2,2,1,3,2,4.74,2.87,43823.37,4,0.314,0,1,89.3,48.82,9,0,0
49,0,3,1,2,1,15.45,17.05,186024.16,5,1.0,3,1,96.1,24.07,0,0,0
37,0,1,2,2,1,19.93,20.43,147436.92,4,1.0,2,0,86.4,86.58,5,1,1
21,0,3,0,2,2,10.54,11.48,121258.2,5,0.794,6,1,89.3,88.74,1,2,0
33,0,1,1,2,1,10.96,11.99,99492.91,5,0.753,3,0,86.6,123.3,3,0,0
26,0,3,0,2,0,4.91,3.44,64553.86,6,0.929,1,1,83.8,19.88,3,2,0
38,0,4,0,2,2,8.05,7.41,186929.39,3,0.721,3,1,92.7,59.84,3,1,0
25,1,0,0,2,1,9.85,9.13,119717.71,1,1.0,1,1,98.0,138.13,9,1,0
31,0,3,2,2,0,12.16,12.59,148283.15,2,1.0,1,0,97.9,39.74,2,2,0
36,0,4,0,2,2,4.75,6.07,104766.97,6,0.432,4,0,44.3,174.2,3,0,0
38,1,0,0,2,0,8.18,11.68,124035.25,3,0.888,3,0,91.2,147.72,0,4,0
22,0,1,2,3,3,7.46,7.97,78948.06,2,0.895,3,0,76.9,93.13,2,2,0
29,0,4,2,3,1,9.98,9.27,123126.84,0,1.0,4,0,86.3,54.78,2,0,0
28,1,4,2,3,2,11.34,14.06,154994.85,4,0.806,5,0,78.1,87.9,0,2,0
26,1,3,0,2,1,3.35,2.69,65653.07,5,0.695,2,1,73.7,91.78,8,2,0
46,1,0,0,4,1,15.58,13.42,152852.13,4,1.0,0,1,96.6,105.73,5,2,0
35,0,2,0,3,2,15.26,15.8,103883.64,2,1.0,2,0,80.1,97.6,1,0,0
21,0,3,2,0,1,5.33,3.18,91890.16,1,0.79,1,1,73.1,112.43,3,0,0
39,1,4,2,1,2,7.94,9.95,109295.35,6,1.0,2,0,94.5,49.4,0,0,0
48,1,4,0,3,1,19.69,17.89,156466.83,2,0.948,3,0,86.2,41.58,9,0,1
40,1,4,0,3,1,11.34,10.78,128645.2,2,0.621,2,1,73.1,73.13,1,1,0
21,0,0,0,1,1,4.82,5.73,85318.62,8,0.323,2,1,93.8,138.24,2,2,0
28,1,5,0,3,2,9.86,10.32,126951.18,3,0.386,3,1,75.2,57.46,1,2,0
42,1,4,3,1,2,6.25,3.43,105931.27,3,0.957,1,0,74.6,100.2,2,2,0
26,0,2,0,0,0,5.97,6.22,164250.47,5,0.826,0,0,85.6,59.78,9,1,0
35,1,3,0,3,2,16.16,17.05,147884.57,6,0.98,3,0,69.5,16.96,9,4,0
38,1,4,2,2,1,9.72,8.44,97514.35,6,0.781,2,0,74.7,113.67,7,1,0
24,1,1,0,3,2,1.86,1.0,152602.46,4,0.777,3,0,56.8,54.61,2,2,0
31,1,2,0,2,1,10.6,6.77,113777.27,5,0.7,2,1,86.1,96.28,7,3,0
21,1,4,0,2,1,8.17,5.98,92084.2,2,1.0,1,0,54.2,62.19,7,2,0
23,2,0,0,3,1,4.6,3.54,88860.02,4,0.548,2,0,94.8,193.09,9,2,0
29,0,4,0,2,0,15.86,15.66,152231.49,3,0.723,1,1,87.7,58.04,6,2,1
22,0,4,0,4,2,17.8,19.3,141120.58,3,0.589,4,1,81.1,19.42,9,0,0
45,0,4,0,1,2,19.31,17.87,137533.74,8,0.777,2,0,79.2,13.88,3,1,0
21,1,0,0,3,2,9.03,9.18,101841.21,3,0.591,1,0,63.7,45.99,4,0,0
28,1,1,0,2,1,6.75,6.55,104900.96,5,0.695,2,0,96.4,13.58,9,4,1
33,1,2,2,2,2,3.68,3.36,68624.36,3,0.418,0,0,90.6,35.09,9,0,0
43,0,1,0,0,1,12.03,10.93,211978.46,6,0.776,2,0,67.9,73.78,9,4,0
21,0,1,0,3,2,2.97,3.51,52023.95,6,0.407,0,1,77.6,102.27,8,4,0
41,1,2,0,2,1,7.65,8.15,81105.81,2,0.489,2,1,96.7,97.36,5,0,0
32,1,1,0,0,0,6.63,6.2,108530.44,4,0.624,0,0,76.2,24.46,6,0,0
24,1,2,0,3,2,29.49,29.85,168505.76,4,1.0,2,0,78.9,95.53,3,2,0
35,1,4,2,3,0,4.56,4.65,74942.99,1,0.611,0,1,75.1,75.46,6,1,1
33,0,3,0,4,2,11.32,10.56,128685.29,1,0.852,0,0,87.6,36.78,2,2,0
27,1,3,2,2,0,11.6,10.58,144819.78,2,0.687,1,1,97.5,133.4,0,0,0
32,0,0,0,1,2,5.65,5.94,86916.41,2,0.654,2,0,69.2,78.38,3,1,0
28,1,4,2,4,0,4.31,5.31,113556.18,3,1.0,2,0,87.1,64.59,2,2,0
32,0,3,3,2,1,10.1,9.08,137277.02,1,1.0,2,0,96.4,62.83,7,2,1
